Hostname,Distro,CVE ID,Compliance ID,Type,Severity,Package Name,Package Version,Package License,CVSS,Vendor status,Description,Cause
localhost,Ubuntu-bionic,,16,host_config,high,,,,0.00,,(CIS_Docker_CE_v1.1.0 - 1.4) Only allow trusted users to control Docker daemon,Users in docker group ubuntu
localhost,Ubuntu-bionic,,21,daemon_config,high,,,,0.00,,(CIS_Docker_CE_v1.1.0 - 2.1) Restrict network traffic between containers,
localhost,Ubuntu-bionic,,28,daemon_config,high,,,,0.00,,(CIS_Docker_CE_v1.1.0 - 2.8) Enable user namespace support,
localhost,Ubuntu-bionic,,211,daemon_config,high,,,,0.00,,(CIS_Docker_CE_v1.1.0 - 2.11) Use authorization plugin,
localhost,Ubuntu-bionic,,224,daemon_config,high,,,,0.00,,(CIS_Docker_CE_v1.1.0 - 2.18) Ensure containers are restricted from acquiring new privileges,
localhost,Ubuntu-bionic,,6321,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 3.2.1) Ensure source routed packets are not accepted,"Systemd service configuration net/ipv4/conf/default/accept_source_route is set to 1
 but should be 0"
localhost,Ubuntu-bionic,,6151,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 1.5.1) Ensure core dumps are restricted,"Systemd service configuration fs/suid_dumpable is set to 2
 but should be 0"
localhost,Ubuntu-bionic,,6521,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 5.2.1) Ensure permissions on /etc/ssh/sshd_config are configured,"File permissions are too high, expected: 600, actual: 644. Full path: /etc/ssh/sshd_config"
localhost,Ubuntu-bionic,,6528,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 5.2.8) Ensure SSH root login is disabled,The sshd configuration value PermitRootLogin is set to prohibit-password but expected to be no. File /etc/ssh/sshd_config
localhost,Ubuntu-bionic,,64115,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 4.1.15) Ensure changes to system administration scope (sudoers) is collected,"Missing auditd rule for files: /etc/sudoers, /etc/sudoers.d/."
localhost,Ubuntu-bionic,,64117,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 4.1.17) Ensure kernel module loading and unloading is collected,"Missing auditd rule for files: /sbin/insmod, /sbin/rmmod, /sbin/modprobe."
localhost,Ubuntu-bionic,,64117,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 4.1.17) Ensure kernel module loading and unloading is collected,"Missing auditd rule for syscalls: init_module, delete_module."
localhost,Ubuntu-bionic,,641113,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 4.1.13) Ensure successful file system mounts are collected,Missing auditd rule for syscall: mount.
localhost,Ubuntu-bionic,,64118,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 4.1.18) Ensure the audit configuration is immutable,Audit rules can be modified with auditctl
localhost,Ubuntu-bionic,,6141,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 1.4.1) Ensure permissions on bootloader config are configured,"File permissions are too high, expected: 600, actual: 644. Full path: /boot/grub/menu.lst"
localhost,Ubuntu-bionic,,6141,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 1.4.1) Ensure permissions on bootloader config are configured,"File permissions are too high, expected: 600, actual: 444. Full path: /boot/grub/grub.cfg"
localhost,Ubuntu-bionic,,66210,linux,high,,,,0.00,,(CIS_Linux_1.1.0 - 6.2.10) Ensure users' dot files are not group or world writable,Home directory /home/ubuntu of user ubuntu contains 2 group/world writable files
