Registry,Repository,Tag,Id,Distro,Hostname,Layer,CVE ID,Compliance ID,Type,Severity,Package Name,Package Version,Package License,CVSS,Vendor Status,Risk Factors,Description,Cause,Containers,Custom Labels
,twistlock/private,console_19_03_321,sha256:30d44ddf21a5c2ec2002883a9f762bc2f6e3289089a15ee11fdc3703b12b8f9c,alpine-3.9.2,localhost,,,0,CIS,,,,,0.00,,,No vulnerabilities nor compliance issues,,1,
,twistlock/private,defender_19_03_321,sha256:d165e564e1d715a7202ca83cd4ccf9b1f7302650c84e141fc471880f38d00346,alpine-3.9.2,localhost,,,0,CIS,,,,,0.00,,,No vulnerabilities nor compliance issues,,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2017-2616,46,OS,medium,util-linux (used in libuuid),2.32-r0,,4.70,fixed in 2.33-r0,"Has fix, Medium severity",A race condition was found in util-linux before 2.32.1 in the way su handled the management of child processes. A local authenticated attacker could use this flaw to kill other processes with root privileges under specific conditions.,,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2018-20679,46,OS,high,"busybox (used in ssl_client, busybox)",1.28.4-r3,,7.50,,"Attack complexity: low, Attack vector: network, High severity, Recent vulnerability","An issue was discovered in BusyBox before 1.30.0. An out of bounds read in udhcp components (consumed by the DHCP server, client, and relay) allows a remote attacker to leak sensitive information from the stack by sending a crafted DHCP message. This is related to verification in udhcp_get_option() in networking/udhcp/common.c that 4-byte options are indeed 4 bytes.",,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2019-5747,46,OS,high,"busybox (used in ssl_client, busybox)",1.28.4-r3,,7.50,,"Attack complexity: low, Attack vector: network, High severity, Recent vulnerability","An issue was discovered in BusyBox through 1.30.0. An out of bounds read in udhcp components (consumed by the DHCP server, client, and/or relay) might allow a remote attacker to leak sensitive information from the stack by sending a crafted DHCP message. This is related to assurance of a 4-byte length when decoding DHCP_SUBNET. NOTE: this issue exists because of an incomplete fix for CVE-2018-20679.",,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2019-0196,46,OS,low,apache2 (used in apache2-utils),2.4.38-r3,,0.00,fixed in 2.4.39-r0,"Has fix, Recent vulnerability","<div class=\""field field-name-field-cve-details-text field-type-text-long field-label-hidden \"">",,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2019-0197,46,OS,low,apache2 (used in apache2-utils),2.4.38-r3,,0.00,fixed in 2.4.39-r0,"Has fix, Recent vulnerability","<div class=\""field field-name-field-cve-details-text field-type-text-long field-label-hidden \"">",,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2019-0211,46,OS,high,apache2 (used in apache2-utils),2.4.38-r3,,7.80,fixed in 2.4.39-r0,"Attack complexity: low, Exploit exists, Has fix, High severity, Recent vulnerability","In Apache HTTP Server 2.4 releases 2.4.17 to 2.4.38, with MPM event, worker or prefork, code executing in less-privileged child processes or threads (including scripts executed by an in-process scripting interpreter) could execute arbitrary code with the privileges of the parent process (usually root) by manipulating the scoreboard. Non-Unix systems are not affected.",,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2019-0215,46,OS,high,apache2 (used in apache2-utils),2.4.38-r3,,7.50,fixed in 2.4.39-r0,"Attack vector: network, Has fix, High severity, Recent vulnerability","In Apache HTTP Server 2.4 releases 2.4.37 and 2.4.38, a bug in mod_ssl when using per-location client certificate verification with TLSv1.3 allowed a client to bypass configured access control restrictions.",,1,
,registry,2,sha256:f32a97de94e13d29835a19851acd6cbc7979d1d50f703725541e44bb89a1ce91,alpine-3.8.4,localhost,,CVE-2019-0217,46,OS,high,apache2 (used in apache2-utils),2.4.38-r3,,7.50,fixed in 2.4.39-r0,"Attack vector: network, Has fix, High severity, Recent vulnerability","In Apache HTTP Server 2.4 release 2.4.38 and prior, a race condition in mod_auth_digest when running in a threaded server could allow a user with valid credentials to authenticate using another username, bypassing configured access control restrictions.",,1,
